Estacion;Fecha inicial;Fecha final;PM2.5
ZIPAQUIRÁ - EFZ;31/01/2024 15:00;31/01/2024 15:59;9,75
ZIPAQUIRÁ - EFZ;31/01/2024 14:00;31/01/2024 14:59;11,88
ZIPAQUIRÁ - EFZ;31/01/2024 13:00;31/01/2024 13:59;15,11
ZIPAQUIRÁ - EFZ;31/01/2024 12:00;31/01/2024 12:59;15,5
ZIPAQUIRÁ - EFZ;31/01/2024 11:00;31/01/2024 11:59;30,27
ZIPAQUIRÁ - EFZ;31/01/2024 10:00;31/01/2024 10:59;62,09
ZIPAQUIRÁ - EFZ;31/01/2024 9:00;31/01/2024 9:59;57,03
ZIPAQUIRÁ - EFZ;31/01/2024 8:00;31/01/2024 8:59;59,32
ZIPAQUIRÁ - EFZ;31/01/2024 7:00;31/01/2024 7:59;41,93
ZIPAQUIRÁ - EFZ;31/01/2024 6:00;31/01/2024 6:59;47,34
ZIPAQUIRÁ - EFZ;31/01/2024 5:00;31/01/2024 5:59;34,66
ZIPAQUIRÁ - EFZ;31/01/2024 4:00;31/01/2024 4:59;34,25
ZIPAQUIRÁ - EFZ;31/01/2024 3:00;31/01/2024 3:59;28,63
ZIPAQUIRÁ - EFZ;31/01/2024 2:00;31/01/2024 2:59;25,77
ZIPAQUIRÁ - EFZ;31/01/2024 1:00;31/01/2024 1:59;23,98
ZIPAQUIRÁ - EFZ;31/01/2024 0:00;31/01/2024 0:59;23,06
ZIPAQUIRÁ - EFZ;30/01/2024 23:00;30/01/2024 23:59;23,04
ZIPAQUIRÁ - EFZ;30/01/2024 22:00;30/01/2024 22:59;21,57
ZIPAQUIRÁ - EFZ;30/01/2024 21:00;30/01/2024 21:59;19,56
ZIPAQUIRÁ - EFZ;30/01/2024 20:00;30/01/2024 20:59;19,81
ZIPAQUIRÁ - EFZ;30/01/2024 19:00;30/01/2024 19:59;18,14
ZIPAQUIRÁ - EFZ;30/01/2024 18:00;30/01/2024 18:59;22,56
ZIPAQUIRÁ - EFZ;30/01/2024 17:00;30/01/2024 17:59;21,5
ZIPAQUIRÁ - EFZ;30/01/2024 16:00;30/01/2024 16:59;14,7
ZIPAQUIRÁ - EFZ;30/01/2024 15:00;30/01/2024 15:59;17,05
ZIPAQUIRÁ - EFZ;30/01/2024 14:00;30/01/2024 14:59;23,77
ZIPAQUIRÁ - EFZ;10/01/2024 17:00;10/01/2024 17:59;1,05
ZIPAQUIRÁ - EFZ;10/01/2024 16:00;10/01/2024 16:59;2
ZIPAQUIRÁ - EFZ;10/01/2024 15:00;10/01/2024 15:59;2,14
ZIPAQUIRÁ - EFZ;10/01/2024 14:00;10/01/2024 14:59;5,28
ZIPAQUIRÁ - EFZ;10/01/2024 13:00;10/01/2024 13:59;11,03
ZIPAQUIRÁ - EFZ;10/01/2024 12:00;10/01/2024 12:59;12,37
ZIPAQUIRÁ - EFZ;10/01/2024 11:00;10/01/2024 11:59;20,64
ZIPAQUIRÁ - EFZ;10/01/2024 10:00;10/01/2024 10:59;33,59
ZIPAQUIRÁ - EFZ;10/01/2024 9:00;10/01/2024 9:59;25,55
ZIPAQUIRÁ - EFZ;10/01/2024 8:00;10/01/2024 8:59;36,59
ZIPAQUIRÁ - EFZ;10/01/2024 7:00;10/01/2024 7:59;28,32
ZIPAQUIRÁ - EFZ;10/01/2024 6:00;10/01/2024 6:59;34,36
ZIPAQUIRÁ - EFZ;10/01/2024 5:00;10/01/2024 5:59;20,95
ZIPAQUIRÁ - EFZ;10/01/2024 4:00;10/01/2024 4:59;19,77
ZIPAQUIRÁ - EFZ;10/01/2024 3:00;10/01/2024 3:59;14,72
ZIPAQUIRÁ - EFZ;10/01/2024 2:00;10/01/2024 2:59;9,41
ZIPAQUIRÁ - EFZ;10/01/2024 1:00;10/01/2024 1:59;17,86
ZIPAQUIRÁ - EFZ;10/01/2024 0:00;10/01/2024 0:59;14,91
ZIPAQUIRÁ - EFZ;9/01/2024 23:00;9/01/2024 23:59;13,18
ZIPAQUIRÁ - EFZ;9/01/2024 22:00;9/01/2024 22:59;16,86
ZIPAQUIRÁ - EFZ;9/01/2024 21:00;9/01/2024 21:59;14,14
ZIPAQUIRÁ - EFZ;9/01/2024 20:00;9/01/2024 20:59;16,63
ZIPAQUIRÁ - EFZ;9/01/2024 19:00;9/01/2024 19:59;9,05
ZIPAQUIRÁ - EFZ;9/01/2024 18:00;9/01/2024 18:59;9,95
ZIPAQUIRÁ - EFZ;9/01/2024 17:00;9/01/2024 17:59;8,86
ZIPAQUIRÁ - EFZ;9/01/2024 16:00;9/01/2024 16:59;6,09
ZIPAQUIRÁ - EFZ;9/01/2024 15:00;9/01/2024 15:59;8,05
ZIPAQUIRÁ - EFZ;9/01/2024 14:00;9/01/2024 14:59;9,28
ZIPAQUIRÁ - EFZ;9/01/2024 13:00;9/01/2024 13:59;15
ZIPAQUIRÁ - EFZ;9/01/2024 12:00;9/01/2024 12:59;16,2
ZIPAQUIRÁ - EFZ;9/01/2024 11:00;9/01/2024 11:59;41,23
ZIPAQUIRÁ - EFZ;9/01/2024 10:00;9/01/2024 10:59;45,72
ZIPAQUIRÁ - EFZ;9/01/2024 9:00;9/01/2024 9:59;39,95
ZIPAQUIRÁ - EFZ;9/01/2024 8:00;9/01/2024 8:59;37,94
ZIPAQUIRÁ - EFZ;9/01/2024 7:00;9/01/2024 7:59;16,55
ZIPAQUIRÁ - EFZ;9/01/2024 6:00;9/01/2024 6:59;27,77
ZIPAQUIRÁ - EFZ;9/01/2024 5:00;9/01/2024 5:59;23,37
ZIPAQUIRÁ - EFZ;9/01/2024 4:00;9/01/2024 4:59;30,36
ZIPAQUIRÁ - EFZ;9/01/2024 3:00;9/01/2024 3:59;16,77
ZIPAQUIRÁ - EFZ;9/01/2024 2:00;9/01/2024 2:59;12,05
ZIPAQUIRÁ - EFZ;9/01/2024 1:00;9/01/2024 1:59;13
ZIPAQUIRÁ - EFZ;9/01/2024 0:00;9/01/2024 0:59;13,09
ZIPAQUIRÁ - EFZ;8/01/2024 23:00;8/01/2024 23:59;15,09
ZIPAQUIRÁ - EFZ;8/01/2024 22:00;8/01/2024 22:59;16,59
ZIPAQUIRÁ - EFZ;8/01/2024 21:00;8/01/2024 21:59;8,18
ZIPAQUIRÁ - EFZ;8/01/2024 20:00;8/01/2024 20:59;12,23
ZIPAQUIRÁ - EFZ;8/01/2024 19:00;8/01/2024 19:59;16,49
ZIPAQUIRÁ - EFZ;8/01/2024 18:00;8/01/2024 18:59;5,95
ZIPAQUIRÁ - EFZ;8/01/2024 17:00;8/01/2024 17:59;5
ZIPAQUIRÁ - EFZ;8/01/2024 16:00;8/01/2024 16:59;5
ZIPAQUIRÁ - EFZ;8/01/2024 15:00;8/01/2024 15:59;5,09
ZIPAQUIRÁ - EFZ;8/01/2024 14:00;8/01/2024 14:59;7,23
ZIPAQUIRÁ - EFZ;8/01/2024 13:00;8/01/2024 13:59;11,97
ZIPAQUIRÁ - EFZ;8/01/2024 12:00;8/01/2024 12:59;11,23
ZIPAQUIRÁ - EFZ;8/01/2024 11:00;8/01/2024 11:59;16,32
ZIPAQUIRÁ - EFZ;8/01/2024 10:00;8/01/2024 10:59;22,86
ZIPAQUIRÁ - EFZ;8/01/2024 9:00;8/01/2024 9:59;20,28
ZIPAQUIRÁ - EFZ;8/01/2024 8:00;8/01/2024 8:59;25,54
ZIPAQUIRÁ - EFZ;8/01/2024 7:00;8/01/2024 7:59;15,86
ZIPAQUIRÁ - EFZ;8/01/2024 6:00;8/01/2024 6:59;12,91
ZIPAQUIRÁ - EFZ;8/01/2024 5:00;8/01/2024 5:59;11,04
ZIPAQUIRÁ - EFZ;8/01/2024 4:00;8/01/2024 4:59;11,96
ZIPAQUIRÁ - EFZ;8/01/2024 3:00;8/01/2024 3:59;11,12
ZIPAQUIRÁ - EFZ;8/01/2024 2:00;8/01/2024 2:59;14,04
ZIPAQUIRÁ - EFZ;8/01/2024 1:00;8/01/2024 1:59;14,96
ZIPAQUIRÁ - EFZ;8/01/2024 0:00;8/01/2024 0:59;14,07
ZIPAQUIRÁ - EFZ;7/01/2024 23:00;7/01/2024 23:59;16,14
ZIPAQUIRÁ - EFZ;7/01/2024 22:00;7/01/2024 22:59;19,82
ZIPAQUIRÁ - EFZ;7/01/2024 21:00;7/01/2024 21:59;14,82
ZIPAQUIRÁ - EFZ;7/01/2024 20:00;7/01/2024 20:59;10,25
ZIPAQUIRÁ - EFZ;7/01/2024 19:00;7/01/2024 19:59;16,58
ZIPAQUIRÁ - EFZ;7/01/2024 18:00;7/01/2024 18:59;4,89
ZIPAQUIRÁ - EFZ;7/01/2024 17:00;7/01/2024 17:59;2,04
ZIPAQUIRÁ - EFZ;7/01/2024 16:00;7/01/2024 16:59;3,08
ZIPAQUIRÁ - EFZ;7/01/2024 15:00;7/01/2024 15:59;5,08
ZIPAQUIRÁ - EFZ;7/01/2024 14:00;7/01/2024 14:59;7,04
ZIPAQUIRÁ - EFZ;7/01/2024 13:00;7/01/2024 13:59;8,07
ZIPAQUIRÁ - EFZ;7/01/2024 12:00;7/01/2024 12:59;11,89
ZIPAQUIRÁ - EFZ;7/01/2024 11:00;7/01/2024 11:59;9,63
ZIPAQUIRÁ - EFZ;7/01/2024 10:00;7/01/2024 10:59;27,84
ZIPAQUIRÁ - EFZ;7/01/2024 9:00;7/01/2024 9:59;50,05
ZIPAQUIRÁ - EFZ;7/01/2024 8:00;7/01/2024 8:59;23,93
ZIPAQUIRÁ - EFZ;7/01/2024 7:00;7/01/2024 7:59;21,72
ZIPAQUIRÁ - EFZ;7/01/2024 6:00;7/01/2024 6:59;13,89
ZIPAQUIRÁ - EFZ;7/01/2024 5:00;7/01/2024 5:59;11,18
ZIPAQUIRÁ - EFZ;7/01/2024 4:00;7/01/2024 4:59;15,86
ZIPAQUIRÁ - EFZ;7/01/2024 3:00;7/01/2024 3:59;12,11
ZIPAQUIRÁ - EFZ;7/01/2024 2:00;7/01/2024 2:59;14,75
ZIPAQUIRÁ - EFZ;7/01/2024 1:00;7/01/2024 1:59;8
ZIPAQUIRÁ - EFZ;7/01/2024 0:00;7/01/2024 0:59;8,09
ZIPAQUIRÁ - EFZ;6/01/2024 23:00;6/01/2024 23:59;10
ZIPAQUIRÁ - EFZ;6/01/2024 22:00;6/01/2024 22:59;10,05
ZIPAQUIRÁ - EFZ;6/01/2024 21:00;6/01/2024 21:59;11,05
